FirstName,LastName,MiddleName,Title,EmailAddress,Phone,DepartmentName,AvatarUrl
Matthew,Mooney,,Employment Equity Manager,MatthewMooney@contoso.com,435-555-0113,Human Resources,/images/contoso/EmployeePhotos/Employee20.jpg
Noemi,Hopkinson,,Director of Operations,NoemiHopkinson@contoso.com,202-555-0151,Operations,/images/contoso/EmployeePhotos/Employee21.jpg
Lucas,Owens,,Operations Coordinator,LucasOwens@contoso.com,925-555-0114,Operations,/images/contoso/EmployeePhotos/Employee22.jpg
Carter,Smith,,IT Manager,CarterSmith@contoso.com,913-555-0196,Information Services,/images/contoso/EmployeePhotos/Employee23.jpg
Barney,Webster,,Sales Store Manager,BarneyWebster@contoso.com,413-555-0136,Production,/images/contoso/EmployeePhotos/Employee24.jpg
Alexander,Clarkson,,Sales Store Manager,AlexanderClarkson@contoso.com,332-555-0150,Production,/images/contoso/EmployeePhotos/Employee25.jpg
Doug,Cooper,,Cloud Architect,DougCooper@contoso.com,166-555-0162,Information Services,/images/contoso/EmployeePhotos/Employee26.jpg
Carter,Tyrrell,,Finance Assistant,CarterTyrrell@contoso.com,113-555-0173,Finance,/images/contoso/EmployeePhotos/Employee27.jpg
Carter,John,,Personal Finance Advisor,CarterJohn@contoso.com,115-555-0179,Finance,/images/contoso/EmployeePhotos/Employee28.jpg
Danny,Nicholls,,HR Safety Manager,DannyNicholls@contoso.com,147-555-0160,Human Resources,/images/contoso/EmployeePhotos/Employee29.jpg
Denis,Bailey,,Junior Data Analyst,DenisBailey@contoso.com,656-555-0119,Information Services,/images/contoso/EmployeePhotos/Employee30.jpg
Michael,Robinson,,Industrial Relations Manager,MichaelRobinson@contoso.com,138-555-0128,Human Resources,/images/contoso/EmployeePhotos/Employee31.jpg
Maddison,Osman,,Employer Brand Manager,MaddisonOsman@contoso.com,523-555-0175,Human Resources,/images/contoso/EmployeePhotos/Employee32.jpg
Benjamin,Wise,,Operations Coordinator,BenjaminWise@contoso.com,668-555-0130,Operations,/images/contoso/EmployeePhotos/Employee33.jpg
Erick,Maxwell,B.,Sales Store Manager,ErickMaxwell@contoso.com,609-555-0179,Production,/images/contoso/EmployeePhotos/Employee34.jpg
Ramon,Daniells,,Sales Store Manager,RamonDaniells@contoso.com,952-555-0178,Production,/images/contoso/EmployeePhotos/Employee35.jpg
Christine,Khan,,Sales Store Manager,ChristineKhan@contoso.com,943-555-0196,Shipping and Receiving,/images/contoso/EmployeePhotos/Employee36.jpg
Bart,Amstead,,Sales Store Manager,BartAmstead@contoso.com,937-555-0137,Shipping and Receiving,/images/contoso/EmployeePhotos/Employee37.jpg
Anne,Huggins,,Sales Store Manager,AnneHuggins@contoso.com,333-555-0173,Production,/images/contoso/EmployeePhotos/Employee38.jpg
Chadwick,Rigg,,Sales Store Manager,ChadwickRigg@contoso.com,963-555-0134,Production,/images/contoso/EmployeePhotos/Employee39.jpg
Benjamin,Locke,,Sales Store Manager,BenjaminLocke@contoso.com,794-555-0159,Production,/images/contoso/EmployeePhotos/Employee40.jpg
Ronald,Mccormick,,Sales Store Manager,RonaldMccormick@contoso.com,218-555-0126,Production,/images/contoso/EmployeePhotos/Employee41.jpg
Carina,Bailey,P.,Sales Store Manager,CarinaBailey@contoso.com,286-555-0189,Production,/images/contoso/EmployeePhotos/Employee42.jpg
Daron,Bullock,,Sales Store Manager,DaronBullock@contoso.com,164-555-0164,Quality Assurance,/images/contoso/EmployeePhotos/Employee43.jpg
Amy,Shelton,,Sales Store Manager,AmyShelton@contoso.com,685-555-0120,Information Services,/images/contoso/EmployeePhotos/Employee44.jpg
Alan,Vince,,Sales Store Manager,AlanVince@contoso.com,786-555-0144,Production,/images/contoso/EmployeePhotos/Employee45.jpg
Javier,Reyes,,Sales Store Manager,JavierReyes@contoso.com,992-555-0194,Production Control,/images/contoso/EmployeePhotos/Employee46.jpg
Clint,Moss,,Sales Store Manager,ClintMoss@contoso.com,818-555-0192,Production,/images/contoso/EmployeePhotos/Employee47.jpg
Chadwick,Eastwood,,Sales Store Manager,ChadwickEastwood@contoso.com,399-555-0176,Marketing,/images/contoso/EmployeePhotos/Employee48.jpg
Clint,Matthews,,Sales Store Manager,ClintMatthews@contoso.com,778-555-0141,Human Resources,/images/contoso/EmployeePhotos/Employee49.jpg
Fred,Wright,,Sales Store Manager,FredWright@contoso.com,299-555-0113,Production,/images/contoso/EmployeePhotos/Employee50.jpg
Rocco,Palmer,,Sales Store Manager,RoccoPalmer@contoso.com,846-555-0157,Facilities and Maintenance,/images/contoso/EmployeePhotos/Employee51.jpg
Monica,Neville,M.,Sales Store Manager,MonicaNeville@contoso.com,639-555-0164,Production,/images/contoso/EmployeePhotos/Employee52.jpg
Erick,Herbert,,Sales Store Manager,ErickHerbert@contoso.com,669-555-0150,Production,/images/contoso/EmployeePhotos/Employee54.jpg
Aiden,Foxley,,Sales Store Manager,AidenFoxley@contoso.com,712-555-0119,Production,/images/contoso/EmployeePhotos/Employee55.jpg
Chadwick,Emmott,,Sales Store Manager,ChadwickEmmott@contoso.com,910-555-0116,Document Control,/images/contoso/EmployeePhotos/Employee56.jpg
Caleb,Neville,,Sales Store Manager,CalebNeville@contoso.com,319-555-0139,Production,/images/contoso/EmployeePhotos/Employee57.jpg
Henry,Paterson,,Sales Store Manager,HenryPaterson@contoso.com,714-555-0138,Production,/images/contoso/EmployeePhotos/Employee58.jpg
Rocco,Walker,,Sales Store Manager,RoccoWalker@contoso.com,499-555-0125,Production,/images/contoso/EmployeePhotos/Employee59.jpg
Elijah,Needham,,Sales Store Manager,ElijahNeedham@contoso.com,932-555-0161,Production,/images/contoso/EmployeePhotos/Employee60.jpg
Evelynn,Palmer,,Sales Store Manager,EvelynnPalmer@contoso.com,602-555-0194,Finance,/images/contoso/EmployeePhotos/Employee61.jpg
Roger,Wright,,Sales Store Manager,RogerWright@contoso.com,679-555-0113,Production,/images/contoso/EmployeePhotos/Employee62.jpg
Marina,Robertson,,Sales Store Manager,MarinaRobertson@contoso.com,688-555-0192,Production,/images/contoso/EmployeePhotos/Employee63.jpg
William,Collins,,Sales Store Manager,WilliamCollins@contoso.com,518-555-0199,Production,/images/contoso/EmployeePhotos/Employee64.jpg
Jayden,Hobson,,Sales Store Manager,JaydenHobson@contoso.com,901-555-0125,Production,/images/contoso/EmployeePhotos/Employee65.jpg
Barry,Slater,,Sales Store Manager,BarrySlater@contoso.com,434-555-0133,Production,/images/contoso/EmployeePhotos/Employee66.jpg
Carl,Saunders,,Sales Store Manager,CarlSaunders@contoso.com,226-555-0197,Production,/images/contoso/EmployeePhotos/Employee67.jpg
Ema,Wilson,,Sales Store Manager,EmaWilson@contoso.com,623-555-0155,Information Services,/images/contoso/EmployeePhotos/Employee68.jpg
Harry,Redden,,Sales Store Manager,HarryRedden@contoso.com,611-555-0116,Production,/images/contoso/EmployeePhotos/Employee69.jpg
Gil,Rose,,Sales Store Manager,GilRose@contoso.com,793-555-0179,Production,/images/contoso/EmployeePhotos/Employee70.jpg
Parker,Norman,,Sales Store Manager,ParkerNorman@contoso.com,612-555-0171,Production,/images/contoso/EmployeePhotos/Employee71.jpg
Camellia,King,,Sales Store Manager,CamelliaKing@contoso.com,522-555-0147,Human Resources,/images/contoso/EmployeePhotos/Employee72.jpg
Adina,Wright,,Sales Store Manager,AdinaWright@contoso.com,248-555-0134,Finance,/images/contoso/EmployeePhotos/Employee73.jpg
Dakota,Weatcroft,,Sales Store Manager,DakotaWeatcroft@contoso.com,309-555-0129,Shipping and Receiving,/images/contoso/EmployeePhotos/Employee74.jpg
Moira,Wood,,Sales Store Manager,MoiraWood@contoso.com,896-555-0168,Production,/images/contoso/EmployeePhotos/Employee75.jpg
Anthony,Long,,Sales Store Manager,AnthonyLong@contoso.com,999-555-0155,Production,/images/contoso/EmployeePhotos/Employee76.jpg
Mark,Carson,,Sales Store Manager,MarkCarson@contoso.com,808-555-0172,Production,/images/contoso/EmployeePhotos/Employee77.jpg
Abdul,Turner,,Sales Store Manager,AbdulTurner@contoso.com,420-555-0173,Quality Assurance,/images/contoso/EmployeePhotos/Employee79.jpg
Matthew,Woods,,Sales Store Manager,MatthewWoods@contoso.com,143-555-0173,Production,/images/contoso/EmployeePhotos/Employee80.jpg
Aileen,Rivers,,Sales Store Manager,AileenRivers@contoso.com,815-555-0138,Research and Development,/images/contoso/EmployeePhotos/Employee81.jpg
Allison,Wigley,,Sales Store Manager,AllisonWigley@contoso.com,314-555-0113,Production,/images/contoso/EmployeePhotos/Employee82.jpg
Matthew,Victor,,Sales Store Manager,MatthewVictor@contoso.com,373-555-0137,Production,/images/contoso/EmployeePhotos/Employee83.jpg
Nicholas,Gray,,Sales Store Manager,NicholasGray@contoso.com,153-555-0186,Human Resources,/images/contoso/EmployeePhotos/Employee84.jpg
Percy,Ashwell,,Sales Store Manager,PercyAshwell@contoso.com,172-555-0130,Production,/images/contoso/EmployeePhotos/Employee85.jpg
Candice,Fox,,Sales Store Manager,CandiceFox@contoso.com,970-555-0118,Production,/images/contoso/EmployeePhotos/Employee86.jpg
Harry,Thomson,,Sales Store Manager,HarryThomson@contoso.com,577-555-0185,Shipping and Receiving,/images/contoso/EmployeePhotos/Employee87.jpg
Boris,Jarrett,,Sales Store Manager,BorisJarrett@contoso.com,373-555-0142,Production,/images/contoso/EmployeePhotos/Employee88.jpg
Rocco,Sheldon,,Sales Store Manager,RoccoSheldon@contoso.com,986-555-0177,Production,/images/contoso/EmployeePhotos/Employee89.jpg
Margaret,Shaw,,Sales Store Manager,MargaretShaw@contoso.com,777-555-0141,Production,/images/contoso/EmployeePhotos/Employee90.jpg
Karla,Clarke,,Sales Store Manager,KarlaClarke@contoso.com,818-555-0128,Production,/images/contoso/EmployeePhotos/Employee91.jpg
Hank,Patel,,Sales Store Manager,HankPatel@contoso.com,204-555-0115,Document Control,/images/contoso/EmployeePhotos/Employee92.jpg
Andrea,Donnelly,,Sales Store Manager,AndreaDonnelly@contoso.com,845-555-0184,Production,/images/contoso/EmployeePhotos/Employee93.jpg
Jack,Walsh,,Sales Store Manager,JackWalsh@contoso.com,935-555-0116,Production,/images/contoso/EmployeePhotos/Employee94.jpg
Tony,Nielson,,Sales Store Manager,TonyNielson@contoso.com,208-555-0114,Production,/images/contoso/EmployeePhotos/Employee95.jpg
Ellen,Cox,,Sales Store Manager,EllenCox@contoso.com,920-555-0177,Finance,/images/contoso/EmployeePhotos/Employee96.jpg
Tom,Selby,,Sales Store Manager,TomSelby@contoso.com,913-555-0184,Production,/images/contoso/EmployeePhotos/Employee97.jpg
Tom,Addley,,Sales Store Manager,TomAddley@contoso.com,148-555-0145,Production Control,/images/contoso/EmployeePhotos/Employee98.jpg
Mike,Eyres,,Sales Store Manager,MikeEyres@contoso.com,148-555-0145,Production Control,/images/contoso/EmployeePhotos/Employee99.jpg
Chester,Parker,M.,Sales Store Manager,ChesterParker@contoso.com,199-555-0117,Production,/images/contoso/EmployeePhotos/Employee100.jpg
Chester,Griffiths,,Sales Store Manager,ChesterGriffiths@contoso.com,391-555-0138,Production,
Barney,Grey,,Sales Store Manager,BarneyGrey@contoso.com,454-555-0119,Production,
Tom,Shaw,,Sales Store Manager,TomShaw@contoso.com,200-555-0117,Production,
Danny,Patel,,Sales Store Manager,DannyPatel@contoso.com,768-555-0123,Production,
Mark,Huggins,,Sales Store Manager,MarkHuggins@contoso.com,166-555-0159,Information Services,
Rocco,Hopkins,,Sales Store Manager,RoccoHopkins@contoso.com,477-555-0132,Finance,
Eduardo,Uddin,,Sales Store Manager,EduardoUddin@contoso.com,582-555-0178,Production,
Kaylee,Abbey,,Sales Store Manager,KayleeAbbey@contoso.com,476-555-0119,Production,
Bethany,Thatcher,,Sales Store Manager,BethanyThatcher@contoso.com,531-555-0183,Marketing,
Barney,Jones,,Sales Store Manager,BarneyJones@contoso.com,637-555-0120,Production,
Chuck,Hamilton,,Sales Store Manager,ChuckHamilton@contoso.com,260-555-0119,Production,
Danny,Terry,,Sales Store Manager,DannyTerry@contoso.com,697-555-0142,Executive,
Benny,Lakey,,Sales Store Manager,BennyLakey@contoso.com,571-555-0179,Production,
Oliver,Wilkinson,,Sales Store Manager,OliverWilkinson@contoso.com,147-555-0179,Quality Assurance,
Marjorie,Nicolas,,Sales Store Manager,MarjorieNicolas@contoso.com,540-555-0191,Production,
Phillip,Hall,,Sales Store Manager,PhillipHall@contoso.com,234-555-0169,Production,
Paula,Davies,,Sales Store Manager,PaulaDavies@contoso.com,185-555-0186,Research and Development,
Julius,Ellison,,Sales Store Manager,JuliusEllison@contoso.com,727-555-0112,Production,
Barry,Rivers,,Sales Store Manager,BarryRivers@contoso.com,158-555-0191,Production,
Ryan,Mitchell,,Sales Store Manager,RyanMitchell@contoso.com,785-555-0110,Information Services,
Emely,Pratt,,Sales Store Manager,EmelyPratt@contoso.com,361-555-0180,Production,
Melanie,Ogilvy,,Sales Store Manager,MelanieOgilvy@contoso.com,510-555-0121,Marketing,
Luna,Brett,,Sales Store Manager,LunaBrett@contoso.com,150-555-0194,Production,
Harry,Lloyd,,Sales Store Manager,HarryLloyd@contoso.com,139-555-0120,Shipping and Receiving,
Martin,Cunningham,,Sales Store Manager,MartinCunningham@contoso.com,712-555-0113,Production,
Javier,Scott,,Sales Store Manager,JavierScott@contoso.com,350-555-0167,Production,
Leroy,Roberts,,Sales Store Manager,LeroyRoberts@contoso.com,241-555-0191,Production,
Stacy,Knight,,Sales Store Manager,StacyKnight@contoso.com,119-555-0192,Production,
Caleb,Burge,,Sales Store Manager,CalebBurge@contoso.com,200-555-0112,Production,
Daniel,Davies,,Sales Store Manager,DanielDavies@contoso.com,205-555-0132,Document Control,
David,Gibbons,,Sales Store Manager,DavidGibbons@contoso.com,653-555-0144,Information Services,
Alexander,Hepburn,,Sales Store Manager,AlexanderHepburn@contoso.com,417-555-0154,Production,
Ron,Appleton,,Sales Store Manager,RonAppleton@contoso.com,935-555-0199,Finance,
Wade,Wooldridge,,Sales Store Manager,WadeWooldridge@contoso.com,180-555-0136,Production,
Hayden,Fox,,Sales Store Manager,HaydenFox@contoso.com,500-555-0159,Production Control,
Gil,Woodcock,B.,Sales Store Manager,GilWoodcock@contoso.com,984-555-0148,Production,
Nicholas,Downing,,Sales Store Manager,NicholasDowning@contoso.com,533-555-0111,Production,
Charlotte,Douglas,,Sales Store Manager,CharlotteDouglas@contoso.com,352-555-0138,Production,
Vanessa,Ross,,Sales Store Manager,VanessaRoss@contoso.com,446-555-0118,Production,
Aurelia,Driscoll,,Sales Store Manager,AureliaDriscoll@contoso.com,955-555-0169,Production,
Nicholas,Varley,,Sales Store Manager,NicholasVarley@contoso.com,110-555-0182,Production,
Nicholas,Douglas,,Sales Store Manager,NicholasDouglas@contoso.com,646-555-0185,Finance,
Jenna,Tyler,,Sales Store Manager,JennaTyler@contoso.com,615-555-0110,Executive,
Florence,Ross,,Sales Store Manager,FlorenceRoss@contoso.com,615-555-0110,Executive,
Danny,Lee,,Sales Store Manager,DannyLee@contoso.com,441-555-0195,Production,
Danny,Kelly,T.,Sales Store Manager,DannyKelly@contoso.com,118-555-0110,Production,
Nathan,Walsh,,Sales Store Manager,NathanWalsh@contoso.com,965-555-0155,Production,
Owen,Leigh,,Sales Store Manager,OwenLeigh@contoso.com,589-555-0147,Production,
Benny,Greenwood,,Sales Store Manager,BennyGreenwood@contoso.com,181-555-0124,Quality Assurance,
Denny,Speed,,Sales Store Manager,DennySpeed@contoso.com,678-555-0110,Production,
Marigold,Williams,,Sales Store Manager,MarigoldWilliams@contoso.com,696-555-0157,Production,
Cedrick,Morris,,Sales Store Manager,CedrickMorris@contoso.com,870-555-0122,Production,
Josh,Kirby,,Sales Store Manager,JoshKirby@contoso.com,182-555-0134,Information Services,
Chanelle,Rehman,,Sales Store Manager,ChanelleRehman@contoso.com,594-555-0110,Information Services,
Sofie,Gaynor,,Sales Store Manager,SofieGaynor@contoso.com,587-555-0114,Production,
Domenic,Rose,,Sales Store Manager,DomenicRose@contoso.com,368-555-0113,Production,
Tania,Middleton,,Sales Store Manager,TaniaMiddleton@contoso.com,869-555-0119,Production,
Bryon,Roman,,Sales Store Manager,BryonRoman@contoso.com,806-555-0136,Human Resources,
Mason,Waterson,,Sales Store Manager,MasonWaterson@contoso.com,819-555-0198,Production,
Ethan,Addis,,Sales Store Manager,EthanAddis@contoso.com,173-555-0179,Production,
Matthew,Varley,,Sales Store Manager,MatthewVarley@contoso.com,429-555-0137,Production,
Jayden,Attwood,,Sales Store Manager,JaydenAttwood@contoso.com,181-555-0156,Research and Development,
Kurt,Jeffery,,Sales Store Manager,KurtJeffery@contoso.com,810-555-0178,Production,
Harry,Bennett,,Sales Store Manager,HarryBennett@contoso.com,201-555-0163,Production,
Phoebe,Ross,,Sales Store Manager,PhoebeRoss@contoso.com,746-555-0164,Document Control,
Chadwick,Coates,,Sales Store Manager,ChadwickCoates@contoso.com,587-555-0115,Production,
Chadwick,Phillips,,Sales Store Manager,ChadwickPhillips@contoso.com,140-555-0132,Production,
Alan,Farrant,,Sales Store Manager,AlanFarrant@contoso.com,309-555-0170,Purchasing,
Tony,Garner,,Sales Store Manager,TonyGarner@contoso.com,990-555-0172,Production,
Erick,Craig,,Sales Store Manager,ErickCraig@contoso.com,117-555-0185,Finance,
Mya,Howard,,Sales Store Manager,MyaHoward@contoso.com,609-555-0153,Production,
Matthew,Attwood,,Sales Store Manager,MatthewAttwood@contoso.com,238-555-0116,Production,
Aiden,Lakey,,Sales Store Manager,AidenLakey@contoso.com,100-555-0174,Production,
Lucas,Taylor,,Sales Store Manager,LucasTaylor@contoso.com,438-555-0172,Production Control,
Martin,Crawford,,Sales Store Manager,MartinCrawford@contoso.com,118-555-0177,Production,
Tom,Fowler,,Sales Store Manager,TomFowler@contoso.com,164-555-0114,Production,
Mark,Gilmour,,Sales Store Manager,MarkGilmour@contoso.com,156-555-0199,Production,
Johnathan,Crawley,,Sales Store Manager,JohnathanCrawley@contoso.com,712-555-0170,Production,
Parker,Burnley,,Sales Store Manager,ParkerBurnley@contoso.com,753-555-0129,Production,
Adalie,Nash,,Sales Store Manager,AdalieNash@contoso.com,654-555-0177,Information Services,
Denny,Tait,,Sales Store Manager,DennyTait@contoso.com,110-555-0115,Production,
Kaylee,Corbett,,Sales Store Manager,KayleeCorbett@contoso.com,822-555-0145,Finance,
Cedrick,Cooper,,Sales Store Manager,CedrickCooper@contoso.com,559-555-0175,Production,
Michael,Trent,,Sales Store Manager,MichaelTrent@contoso.com,751-555-0134,Production,
Colleen,Overson,,Sales Store Manager,ColleenOverson@contoso.com,319-555-0126,Production,
Sofia,Newton,,Sales Store Manager,SofiaNewton@contoso.com,809-555-0133,Production,
John,Griffiths,,Sales Store Manager,JohnGriffiths@contoso.com,517-555-0122,Production,
Ron,Verdon,,Sales Store Manager,RonVerdon@contoso.com,552-555-0111,Production,
Ethan,Vollans,,Sales Store Manager,EthanVollans@contoso.com,908-555-0159,Production,
Tiffany,Thatcher,,Sales Store Manager,TiffanyThatcher@contoso.com,508-555-0129,Production,
Domenic,Owens,,Sales Store Manager,DomenicOwens@contoso.com,167-555-0139,Production,
Erick,Atkinson,,Sales Store Manager,ErickAtkinson@contoso.com,310-555-0133,Information Services,
Candace,Shields,,Sales Store Manager,CandaceShields@contoso.com,106-555-0120,Production,
Russel,Bloom,,Sales Store Manager,RusselBloom@contoso.com,949-555-0174,Production,
Liam,Webster,,Sales Store Manager,LiamWebster@contoso.com,955-555-0131,Human Resources,
Lucas,Buckley,,Sales Store Manager,LucasBuckley@contoso.com,817-555-0186,Production,
John,Gilmore,,Sales Store Manager,JohnGilmore@contoso.com,450-555-0152,Production,
Benny,Robinson,,Sales Store Manager,BennyRobinson@contoso.com,278-555-0118,Production,
Carl,Knight,,Sales Store Manager,CarlKnight@contoso.com,927-555-0168,Shipping and Receiving,
Boris,Wheeler,,Sales Store Manager,BorisWheeler@contoso.com,296-555-0121,Production,
Michaela,Tailor,,Sales Store Manager,MichaelaTailor@contoso.com,289-555-0196,Production,
Barry,Summers,J.,Sales Store Manager,BarrySummers@contoso.com,848-555-0163,Purchasing,
Wade,Hardwick,,Sales Store Manager,WadeHardwick@contoso.com,165-555-0113,Production,
Kieth,Cassidy,,Sales Store Manager,KiethCassidy@contoso.com,869-555-0125,Quality Assurance,
Judith,Baldwin,,Sales Store Manager,JudithBaldwin@contoso.com,393-555-0186,Finance,
Remy,Wilkinson,,Sales Store Manager,RemyWilkinson@contoso.com,318-555-0137,Production,
Chris,Horton,,Sales Store Manager,ChrisHorton@contoso.com,138-555-0118,Marketing,
Oliver,Woodcock,L.,Sales Store Manager,OliverWoodcock@contoso.com,663-555-0172,Production,
Dani,Calderwood,,Sales Store Manager,DaniCalderwood@contoso.com,224-555-0187,Production,
Boris,Ralph,Ivar,Sales Store Manager,BorisRalph@contoso.com,313-555-0196,Production Control,
Colleen,Gordon,,Sales Store Manager,ColleenGordon@contoso.com,785-555-0132,Production,
Leroy,Ballard,,Sales Store Manager,LeroyBallard@contoso.com,407-555-0165,Production,
Oliver,Eagle,,Sales Store Manager,OliverEagle@contoso.com,139-555-0131,Production,
Jaylene,Hunt,,Sales Store Manager,JayleneHunt@contoso.com,142-555-0139,Production,
Eduardo,Rothwell,,Sales Store Manager,EduardoRothwell@contoso.com,207-555-0192,Production,
Anthony,Exton,G.,Sales Store Manager,AnthonyExton@contoso.com,575-555-0126,Document Control,
Doug,Walton,,Sales Store Manager,DougWalton@contoso.com,315-555-0144,Production,
Agnes,Nurton,,Sales Store Manager,AgnesNurton@contoso.com,991-555-0184,Production,
Wade,Fowler,,Sales Store Manager,WadeFowler@contoso.com,310-555-0117,Production,
Nick,Stevenson,,Sales Store Manager,NickStevenson@contoso.com,927-555-0150,Finance,
Nick,Lee,,Sales Store Manager,NickLee@contoso.com,330-555-2568,Research and Development,
Michael,Robertson,,Sales Store Manager,MichaelRobertson@contoso.com,110-555-0112,Facilities and Maintenance,
Chuck,Williams,,Sales Store Manager,ChuckWilliams@contoso.com,931-555-0118,Production,
Gabriel,Dixon,,Sales Store Manager,GabrielDixon@contoso.com,202-555-0187,Production,
Martin,Ellis,,Sales Store Manager,MartinEllis@contoso.com,492-555-0174,Production,
Boris,Fields,,Sales Store Manager,BorisFields@contoso.com,730-555-0117,Production,
Maia,Jenkins,,Sales Store Manager,MaiaJenkins@contoso.com,916-555-0165,Purchasing,
Grace,Moreno,,Sales Store Manager,GraceMoreno@contoso.com,405-555-0171,Production,
Gil,Griffiths,,Sales Store Manager,GilGriffiths@contoso.com,583-555-0182,Facilities and Maintenance,
Phillip,Jackson,,Sales Store Manager,PhillipJackson@contoso.com,447-555-0186,Production,
Angelique,Avery,,Sales Store Manager,AngeliqueAvery@contoso.com,283-555-0185,Production,
George,Phillips,,Sales Store Manager,GeorgePhillips@contoso.com,555-555-0113,Production,
Michael,Saunders,,Sales Store Manager,MichaelSaunders@contoso.com,733-555-0128,Production,
Bridget,Widdows,,Sales Store Manager,BridgetWiddows@contoso.com,264-555-0150,Production,
Mason,Craig,,Sales Store Manager,MasonCraig@contoso.com,520-555-0177,Purchasing,
Oliver,Saunders,,Sales Store Manager,OliverSaunders@contoso.com,497-555-0181,Production,
Aiden,Cartwright,,Sales Store Manager,AidenCartwright@contoso.com,230-555-0144,Purchasing,
Isabel,Benfield,,Sales Store Manager,IsabelBenfield@contoso.com,123-555-0167,Production,
Selena,Carpenter,,Sales Store Manager,SelenaCarpenter@contoso.com,208-555-0114,Production,
Liam,Baker,,Sales Store Manager,LiamBaker@contoso.com,166-555-0156,Production,
William,Latham,,Sales Store Manager,WilliamLatham@contoso.com,129-555-0199,Production,
Cedrick,Dickson,,Sales Store Manager,CedrickDickson@contoso.com,163-555-0147,Purchasing,
Ryan,Rainford,,Sales Store Manager,RyanRainford@contoso.com,590-555-0152,Production,
Mason,Flynn,,Sales Store Manager,MasonFlynn@contoso.com,680-555-0118,Production,
Gabriel,Palmer,J.,Sales Store Manager,GabrielPalmer@contoso.com,720-555-0158,Facilities and Maintenance,
Martin,Hall,,Sales Store Manager,MartinHall@contoso.com,237-555-0128,Production,
Britney,Aldridge,,Sales Store Manager,BritneyAldridge@contoso.com,842-555-0158,Purchasing,
John,Ellery,,Sales Store Manager,JohnEllery@contoso.com,413-555-0124,Production,
Barney,Robinson,,Sales Store Manager,BarneyRobinson@contoso.com,203-555-0196,Production,
Chris,Button,,Sales Store Manager,ChrisButton@contoso.com,919-555-0140,Production,
Rocco,Ebbs,,Sales Store Manager,RoccoEbbs@contoso.com,153-555-0166,Production,
David,Gosling,,Sales Store Manager,DavidGosling@contoso.com,425-555-0117,Production,
Eduardo,Hill,,Sales Store Manager,EduardoHill@contoso.com,491-555-0183,Production,
Rita,Hobbs,,Sales Store Manager,RitaHobbs@contoso.com,295-555-0161,Facilities and Maintenance,
Charlotte,Osmond,,Sales Store Manager,CharlotteOsmond@contoso.com,500-555-0172,Production,
Anthony,Dowson,,Sales Store Manager,AnthonyDowson@contoso.com,325-555-0137,Quality Assurance,
